categoria,servicio,precio_lps,taxable,regla_especial
Laboratorio,Ultrasonido,80.00,si,
Laboratorio,Aso,20.00,si,
Laboratorio,Alumina,15.00,si,
Laboratorio,Ácido Úrico,15.00,si,
Laboratorio,Amilasa,15.00,si,
Laboratorio,Antígenos Febriles,20.00,si,
Laboratorio,Bilirrubina T/D,20.00,si,
Laboratorio,Bum,15.00,si,
Laboratorio,Bl.BD.DT,35.00,si,
Laboratorio,Colesterol,20.00,si,
Laboratorio,Calcio,20.00,si,
Laboratorio,CPK,25.00,si,
Laboratorio,CPKMD,25.00,si,
Laboratorio,Creatinina,15.00,si,
Laboratorio,Coloración de Gram,10.00,si,
Laboratorio,Combos Directos,15.00,si,
Laboratorio,Combos Indirectos,15.00,si,
Laboratorio,Diferencial,10.00,si,
Laboratorio,Chagas,65.00,si,
Laboratorio,CTYF,20.00,si,
Laboratorio,Depranositos,15.00,si,
Laboratorio,EKG Electrocardiograma,105.00,si,
Laboratorio,Glóbulos Blancos,10.00,si,
Laboratorio,Gravindex,25.00,si,
Laboratorio,Grupo Factor RH,15.00,si,
Laboratorio,Glucosa,15.00,si,
Laboratorio,General de Orina,15.00,si,
Laboratorio,General de Heces,35.00,si,
Laboratorio,Hemograma Completo,10.00,si,
Laboratorio,Hematocrito,65.00,si,
Laboratorio,Hepatitis ABC,20.00,si,
Laboratorio,HDL Colesterol,85.00,si,
Laboratorio,Helicobacter Pylori,50.00,si,
Laboratorio,CD4,80.00,si,
Laboratorio,Urocultivo,105.00,si,
Laboratorio,Tiempo de Coagulación,80.00,si,
Laboratorio,Exudado Vaginal,85.00,si,
Laboratorio,Hemocultivo,10.00,si,
Laboratorio,Examen Embarazada,10.00,si,
Laboratorio,Postavirus,105.00,si,
Laboratorio,NST,145.00,si,
Laboratorio,Lelatex,20.00,si,
Laboratorio,Orina 24 Horas,25.00,si,
Laboratorio,Plaquetas,10.00,si,
Laboratorio,Perfil Lipídico,25.00,si,
Laboratorio,PCR,15.00,si,
Laboratorio,Potasio,20.00,si,
Laboratorio,Proteínas Totales,15.00,si,
Laboratorio,Proteinuria,15.00,si,
Laboratorio,Reticulositos,10.00,si,
Laboratorio,RPR Tarjeta Salud,15.00,si,
Laboratorio,BDRL,15.00,si,
Laboratorio,Sodio,20.00,si,
Laboratorio,Sangre Oculta,10.00,si,
Laboratorio,TP y TTP,100.00,si,
Laboratorio,Test Pack Embarazo,25.00,si,
Laboratorio,T3 T4 TSH,195.00,si,
Laboratorio,TSH,195.00,si,
Laboratorio,Toxo Test,35.00,si,
Laboratorio,Triglicéridos,15.00,si,
Laboratorio,TGO,20.00,si,
Laboratorio,IGP,20.00,si,
Laboratorio,Transaminosas,35.00,si,
Laboratorio,Eritrosedimentación,10.00,si,
Laboratorio,Gases Arteriales,305.00,si,
Laboratorio,Sangre Periférica,20.00,si,
Laboratorio,Citología,155.00,si,
Laboratorio,Examen Pildore,35.00,si,
Laboratorio,PSA,1330.00,si,
Laboratorio,Unidad de Sangre,1500.00,si,
Laboratorio,Hemoglobina Glicosilada HBA.C,80.00,si,
Radiología,Dedo,45.00,si,
Radiología,Cráneo,85.00,si,
Radiología,Huesos de Cara,85.00,si,
Radiología,Senos Nasales,95.00,si,
Radiología,Columna Cervical,85.00,si,
Radiología,Cuello,65.00,si,
Radiología,Clavícula,45.00,si,
Radiología,Hombro,45.00,si,
Radiología,Brazo,65.00,si,
Radiología,Codo,65.00,si,
Radiología,Antebrazo,65.00,si,
Radiología,Muñeca,65.00,si,
Radiología,Mano,45.00,si,
Radiología,Tórax,85.00,si,
Radiología,Columna Lumbar,45.00,si,
Radiología,Pelvis,65.00,si,
Radiología,Fémur,65.00,si,
Radiología,Rodilla,65.00,si,
Radiología,Pierna,65.00,si,
Radiología,Tobillo,45.00,si,
Radiología,Mandíbula,45.00,si,
Radiología,Lumbosacra,45.00,si,
Radiología,Abdomen Simple,45.00,si,
Radiología,Abdomen Embarazo,45.00,si,
Servicios generales,Anti D,850.00,si,
Servicios generales,Maternidad,85.00,si,
Servicios generales,Legrado,205.00,si,
Servicios generales,Ginecología,205.00,si,
Servicios generales,Cesárea,305.00,si,
Servicios generales,Pediatría,205.00,si,
Servicios generales,Neonato,205.00,si,
Servicios generales,Medicina,205.00,si,
Servicios generales,Estancia administrativa,205.00,si,
Servicios generales,Cirugía,305.00,si,
Servicios generales,Observación 24h,105.00,si,
Servicios generales,Atención inmediata 24h,10.00,si,
Servicios generales,AQV,55.00,si,
Servicios generales,Cirugía Menor,155.00,si,
Servicios generales,Sutura,35.00,si,
Servicios generales,Antitetánico,105.00,si,
Servicios generales,Insulina,55.00,si,
Servicios generales,Constancia Médica,55.00,si,
Servicios generales,Procedimiento,150.00,si,
Servicios generales,Registro administrativo,10.00,si,
Servicios generales,Glucometría,30.00,si,
Servicios generales,Nebulización,30.00,si,
Servicios generales,Cambio de Sonda,20.00,si,
Odontología,Extracción,105.00,si,
Odontología,Limpieza,105.00,si,
Odontología,Tapado,20.00,si,
Medicamentos,Eritropoyetina,25.00,si,eritropoyetina_gratis_con_receta_dialisis
