"Ref","SHA","Tree","Upstream","CommitterDate","Author","Subject"
"main","555a14f7529a566dc4e050e41451e76810eda301","a00783769d871e82d98af273ab4357c2675fe780","origin/main","2026-06-21 23:14:04 -0600","AugustoMelara-Dev","merge: close S_Hospital software release"
"origin","555a14f7529a566dc4e050e41451e76810eda301","a00783769d871e82d98af273ab4357c2675fe780","","2026-06-21 23:14:04 -0600","AugustoMelara-Dev","merge: close S_Hospital software release"
"origin/main","555a14f7529a566dc4e050e41451e76810eda301","a00783769d871e82d98af273ab4357c2675fe780","","2026-06-21 23:14:04 -0600","AugustoMelara-Dev","merge: close S_Hospital software release"
"codex/close-software-release","122aaa3098d7499023cf38f8108239f89130b444","a00783769d871e82d98af273ab4357c2675fe780","origin/codex/close-software-release","2026-06-21 23:13:42 -0600","AugustoMelara-Dev","docs(qa): close software release and defer site acceptance"
"origin/codex/close-software-release","122aaa3098d7499023cf38f8108239f89130b444","a00783769d871e82d98af273ab4357c2675fe780","","2026-06-21 23:13:42 -0600","AugustoMelara-Dev","docs(qa): close software release and defer site acceptance"
"codex/final-main-candidate","50aecbdb57ca138e90cfb25c66f851bce0fa6bd7","8e4b64a3f881fcbf25fdab1b7358abc5dcae1bf0","origin/codex/final-main-candidate","2026-06-21 13:12:18 -0600","AugustoMelara-Dev","docs(qa): record final main integration gates"
"origin/codex/final-main-candidate","50aecbdb57ca138e90cfb25c66f851bce0fa6bd7","8e4b64a3f881fcbf25fdab1b7358abc5dcae1bf0","","2026-06-21 13:12:18 -0600","AugustoMelara-Dev","docs(qa): record final main integration gates"
"codex/visual-completion-rc","23788fde5145c1361d6a2a12a8c229ece5d2374a","8ec27d281ea4bcccc0c68e9bb8a8aad0ed3180e4","origin/codex/visual-completion-rc","2026-06-21 12:19:38 -0600","AugustoMelara-Dev","test(ui): document visual completion evidence"
"origin/codex/visual-completion-rc","23788fde5145c1361d6a2a12a8c229ece5d2374a","8ec27d281ea4bcccc0c68e9bb8a8aad0ed3180e4","","2026-06-21 12:19:38 -0600","AugustoMelara-Dev","test(ui): document visual completion evidence"
"checkpoint/pre-visual-completion-20260621-1137","10d7413daf48f606ef9d913792ed90454a7143d0","e886aba03f3ff6af6bdfc110c209bee010967806","origin/checkpoint/pre-visual-completion-20260621-1137","2026-06-21 11:08:36 -0600","AugustoMelara-Dev","docs(qa): classify release dependency warnings"
