"Branch","SHA","Date","Subject","MergeBase","AheadBehind","Tree","TreeEqualsMain","CherryPlus","CherryMinus","AheadCommitCount","FileCountThreeDot","FileCountTwoDot","ShortStatThreeDot","ShortStatTwoDot","FileSetHash","Priority","Prefix","FilesSample","Classification","Evidence","RecommendedAction"
"audit/f6-post-approval-sensitive-a979d5b7","a979d5b79833245fa8a7df93711ef7784f08f918","2026-06-14T00:56:43-06:00","refactor: enhance invoice and payment voiding logic with cash session checks and improve error handling","a9377e9fa71430c8667dd619022f58a9f28dcde4","203/1","df93d5b80c9c23a9087c3e6b4e7ccfd213d670ae","False","1","0","1","17","894"," 17 files changed, 300 insertions(+), 107 deletions(-)"," 894 files changed, 9878 insertions(+), 72536 deletions(-)","489afb3e8015fa8bc8e1d14940d133ea359577a6098c97d10d83ea0dd50d9344","P0","audit","backend/app/Actions/Billing/VoidInvoiceAction.php; backend/app/Actions/Payments/VoidPaymentAction.php; backend/app/Http/Controllers/AuthController.php; backend/app/Http/Controllers/CspReportController.php; backend/app/Http/Requests/Fiscal/StoreFiscalSequenceRequest.php; backend/app/Http/Requests/Fiscal/UpdateFiscalSequenceRequest.php; backend/bootstrap/app.php; backend/database/migrations/2026_06_14_000002_encrypt_legacy_idempotency_keys.php; backend/tests/Feature/CspReportControllerTest.php; backend/tests/Feature/EncryptLegacyIdempotencyKeysTest.php; backend/tests/Feature/FiscalSequenceTest.php; backend/tests/Feature/RestrictInvoiceItemsInvoiceDeleteTest.php; frontend/src/App.tsx; frontend/src/AppRoutes.tsx; frontend/src/app/useHospitalSession.ts; frontend/src/features/cash/CashBoxView.tsx; frontend/src/features/invoices/components/PaymentModal.tsx","REQUIERE_DECISION_USUARIO","aheadBehind=203/1; cherryPlus=1; cherryMinus=0; files3=17; files2=894; priority=P0","decisi?n humana/revisi?n focal antes de recuperaci?n"
"audit/f6-post-approval-sensitive-c851057f","c851057fbcdac7a98a6f06ffb9c6dee526839fc9","2026-06-14T01:13:59-06:00","fix(security): natively encrypt legacy plaintext idempotency keys","a9377e9fa71430c8667dd619022f58a9f28dcde4","203/1","740ebed99298b6277849536e9046ea0e2b02f0b9","False","1","0","1","3","890"," 3 files changed, 125 insertions(+)"," 890 files changed, 9710 insertions(+), 72436 deletions(-)","92bf63ece29502ec32b2c2e3e96e9295eb119a728387db407d53f054138ff2d7","P0","audit","backend/app/Console/Commands/EncryptLegacyIdempotencyKeysCommand.php; backend/database/migrations/2026_06_14_000000_encrypt_idempotency_keys.php; backend/tests/Feature/EncryptLegacyIdempotencyKeysTest.php","REQUIERE_DECISION_USUARIO","aheadBehind=203/1; cherryPlus=1; cherryMinus=0; files3=3; files2=890; priority=P0","decisi?n humana/revisi?n focal antes de recuperaci?n"
"codex/f6-operational-polish","a979d5b79833245fa8a7df93711ef7784f08f918","2026-06-14T00:56:43-06:00","refactor: enhance invoice and payment voiding logic with cash session checks and improve error handling","a9377e9fa71430c8667dd619022f58a9f28dcde4","203/1","df93d5b80c9c23a9087c3e6b4e7ccfd213d670ae","False","1","0","1","17","894"," 17 files changed, 300 insertions(+), 107 deletions(-)"," 894 files changed, 9878 insertions(+), 72536 deletions(-)","489afb3e8015fa8bc8e1d14940d133ea359577a6098c97d10d83ea0dd50d9344","P0","codex","backend/app/Actions/Billing/VoidInvoiceAction.php; backend/app/Actions/Payments/VoidPaymentAction.php; backend/app/Http/Controllers/AuthController.php; backend/app/Http/Controllers/CspReportController.php; backend/app/Http/Requests/Fiscal/StoreFiscalSequenceRequest.php; backend/app/Http/Requests/Fiscal/UpdateFiscalSequenceRequest.php; backend/bootstrap/app.php; backend/database/migrations/2026_06_14_000002_encrypt_legacy_idempotency_keys.php; backend/tests/Feature/CspReportControllerTest.php; backend/tests/Feature/EncryptLegacyIdempotencyKeysTest.php; backend/tests/Feature/FiscalSequenceTest.php; backend/tests/Feature/RestrictInvoiceItemsInvoiceDeleteTest.php; frontend/src/App.tsx; frontend/src/AppRoutes.tsx; frontend/src/app/useHospitalSession.ts; frontend/src/features/cash/CashBoxView.tsx; frontend/src/features/invoices/components/PaymentModal.tsx","DUPLICADO_DE_OTRA_RAMA","aheadBehind=203/1; cherryPlus=1; cherryMinus=0; files3=17; files2=894; priority=P0; duplicateShaOf=audit/f6-post-approval-sensitive-a979d5b7","no recuperar como unidad; duplicado de referencia preservada"
"codex/final-rc-scope-cutover","70df4b7edcdd8066d83bd8f664c78196dbd53af2","2026-06-12T15:20:52-06:00","docs(qa): document final RC scope cutover","38d2e6e192616ce0e08052aec80a118f3c8ff4be","229/4","d2f6f531598d0979ed86b58349dabafa53522d1a","False","4","0","4","80","1131"," 80 files changed, 1123 insertions(+), 316 deletions(-)"," 1131 files changed, 11344 insertions(+), 79695 deletions(-)","afb7f7c6652b692f0f99c4625c5b1f36f8b678ae8ec2526da5e32a2c6291825b","P0","codex",".gitignore; docs/DECISIONS.md; frontend/src/features/onboarding/GuidedTour.tsx; frontend/src/layout/AppShell.tsx; frontend/src/layout/Topbar.tsx; qa/FINAL_RC_CUTOVER_2026_06_12.md; qa/screenshots/after/f4-billing-cashbox-flow-report.json; qa/screenshots/after/f4-cashbox-open.png; qa/screenshots/after/f4-history-reprint-receipt.png; qa/screenshots/after/f4-invoice-history.png; qa/screenshots/after/f4-new-invoice-paid-receipt.png; qa/screenshots/after/f4-new-invoice-service-selected.png; qa/screenshots/after/f5-desktop-dark-backups.png; qa/screenshots/after/f5-desktop-dark-cashbox.png; qa/screenshots/after/f5-desktop-dark-catalog.png; qa/screenshots/after/f5-desktop-dark-dashboard.png; qa/screenshots/after/f5-desktop-dark-invoice-history.png; qa/screenshots/after/f5-desktop-dark-new-invoice.png","SUPERADA_POR_MAIN","aheadBehind=229/4; cherryPlus=4; cherryMinus=0; files3=80; files2=1131; priority=P0","no fusionar; main contiene implementaci?n final posterior"
"codex/operational-role-simulation","b1a728aca416201504393236e05b5559a6895567","2026-05-19T09:05:00-06:00","fix(backups): persist current-user automation startup","186e8c2d75021af8c5c875058c4f6339d7a4c429","798/10","2d46e79e2ab3c2765f1ab6ae01b987558750e8d7","False","10","0","10","56","1760"," 56 files changed, 1430 insertions(+), 333 deletions(-)"," 1760 files changed, 11958 insertions(+), 163215 deletions(-)","677462472d8bcf614baf886ef02fa8db634d7f69bb69bfd51fe820a4545a92da","P0","codex","backend/app/Actions/Backups/DatabaseDumpWriter.php; backend/app/Http/Controllers/ReportController.php; backend/routes/console.php; backend/tests/Feature/BackupWorkflowTest.php; backend/tests/Feature/ReportsTest.php; docs/BACKUP_RESTORE.md; docs/DECISIONS.md; frontend/e2e/production-readiness.spec.ts; frontend/src/App.test.tsx; frontend/src/AppRoutes.tsx; frontend/src/components/ui/confirm-dialog.tsx; frontend/src/features/cash/CashBoxView.tsx; frontend/src/features/cash/components/CloseSessionDialog.tsx; frontend/src/features/cash/components/OpenSessionForm.tsx; frontend/src/features/cash/components/SessionSummary.tsx; frontend/src/features/catalog/components/CategorySheet.tsx; frontend/src/features/catalog/components/ServiceSheet.tsx; frontend/src/features/invoices/InvoiceHistoryView.tsx","REQUIERE_DECISION_USUARIO","aheadBehind=798/10; cherryPlus=10; cherryMinus=0; files3=56; files2=1760; priority=P0","decisi?n humana/revisi?n focal antes de recuperaci?n"
"codex/production-readiness-preflight","ab17005df5b090280fb642aafe885a5726449bb2","2026-06-08T22:20:54-06:00","docs(qa): record handoff evidence review","f02ab06aee21b916353b510188f64877b0581ee6","315/406","9b4ff71ddeca7e42d86e1bab86d976b9e1c87abc","False","406","0","406","769","1844"," 769 files changed, 48855 insertions(+), 5304 deletions(-)"," 1844 files changed, 55699 insertions(+), 103339 deletions(-)","59dc14dc0b08d66dfdf431a91552ba1678190afccb486e9bc8527cbbd26d57c6","P0","codex",".env.example; .github/PULL_REQUEST_TEMPLATE.md; .github/workflows/ci.yml; .github/workflows/release.yml; AGENTS.md; CHANGELOG.md; CODE_OF_CONDUCT.md; CONTRIBUTING.md; PROMPT_URGENTE_PARA_CODEX.md; RELEASE_NOTES_v1.0.0.md; RELEASE_NOTES_v1.0.0_FINAL.md; SECURITY.md; SYSTEM_REQUIREMENTS.md; UI/pos-screen-spec.md; backend/.env.example; backend/.gitignore; backend/app/Actions/Backups/CreateBackupAction.php; backend/app/Actions/Backups/DatabaseDumpWriter.php","REQUIERE_DECISION_USUARIO","aheadBehind=315/406; cherryPlus=406; cherryMinus=0; files3=769; files2=1844; priority=P0","decisi?n humana/revisi?n focal antes de recuperaci?n"
"codex/supply-chain-hardening","86e52a6b1cc4be3a14c35954d49333da0f458b0d","2026-05-27T22:46:40-06:00","feat(deploy): implement robust network and docker preflight diagnostics v2 phase 1","7f22a63b1951b2000c2f9f434b3e9465cc1b8831","777/7","74aca8f85cb0dd4fa93b3cbc9689cacab1e73ddb","False","7","0","7","65","1696"," 65 files changed, 7445 insertions(+), 857 deletions(-)"," 1696 files changed, 17140 insertions(+), 146889 deletions(-)","e286273fcce844ca3a01299f6b2c62a14f54f83047a43bd685a1a137212e583b","P0","codex",".dockerignore; .gitignore; README.md; backend/.npmrc; backend/Dockerfile.prod; backend/app/Http/Controllers/BackupController.php; backend/app/Http/Controllers/CashSessionController.php; backend/app/Http/Controllers/CategoryController.php; backend/app/Http/Controllers/Controller.php; backend/app/Http/Controllers/InvoiceController.php; backend/app/Http/Controllers/ReportController.php; backend/app/Http/Controllers/ServiceController.php; backend/app/Http/Controllers/UserController.php; backend/app/Http/Requests/Admin/StoreUserRequest.php; backend/app/Http/Requests/Admin/UpdateUserRequest.php; backend/app/Http/Requests/Billing/IndexInvoiceRequest.php; backend/app/Http/Requests/Billing/StoreInvoiceRequest.php; backend/app/Http/Requests/Billing/VoidInvoiceRequest.php","REQUIERE_DECISION_USUARIO","aheadBehind=777/7; cherryPlus=7; cherryMinus=0; files3=65; files2=1696; priority=P0","decisi?n humana/revisi?n focal antes de recuperaci?n"
"fix/f8-audit-hardening-2026-06-14","81d74d6e76077d0b2b72a068cdbafb9d088cfb97","2026-06-14T16:14:59-06:00","fix(backend): satisfy hardening quality gates","23659b3ec8195aaa3fb24c86bd97fdb930625e31","181/5","9c3932726b80bcd1cf35001d831e8b40e5ea4415","False","5","0","5","47","871"," 47 files changed, 1208 insertions(+), 126 deletions(-)"," 871 files changed, 10450 insertions(+), 69542 deletions(-)","1b8d2b6aef64ffc3a48625f432b719cb20f9d6f6dc8a891e59840307ef94fe2f","P0","fix",".env.example; backend/app/Actions/Backups/CreateBackupAction.php; backend/app/Actions/Backups/PruneBackupsAction.php; backend/app/Actions/Billing/CreateInvoiceAction.php; backend/app/Actions/Payments/RegisterPaymentAction.php; backend/app/Http/Controllers/BackupController.php; backend/app/Http/Controllers/LogoController.php; backend/app/Http/Controllers/UserController.php; backend/app/Http/Requests/Catalog/StoreServiceRequest.php; backend/app/Http/Requests/Catalog/UpdateServiceRequest.php; backend/app/Http/Requests/Receipts/ShowReceiptRequest.php; backend/app/Http/Requests/Reports/DateRangeReportRequest.php; backend/app/Http/Requests/Reports/ShowCashSessionReportRequest.php; backend/app/Models/BackupLog.php; backend/config/backups.php; backend/database/migrations/2026_06_14_000001_add_backup_protection_metadata_to_backup_logs.php; backend/docker/entrypoint.sh; backend/routes/web.php","REQUIERE_DECISION_USUARIO","aheadBehind=181/5; cherryPlus=5; cherryMinus=0; files3=47; files2=871; priority=P0","decisi?n humana/revisi?n focal antes de recuperaci?n"
"hardening-audit-complete-2026-06-15","6cecb4afbb6b27a22032fe9ce9499bd48877d240","2026-06-15T13:52:09-06:00","Exclude vendored paths from offline dependency audit","605d2bcac0678e88d1b9e4c21055a8775f8e25f0","104/4","d1f663cd1995370e4c99adad08727e3cb3792585","False","3","1","4","85","605"," 85 files changed, 6025 insertions(+), 173 deletions(-)"," 605 files changed, 10170 insertions(+), 44848 deletions(-)","eb0ea3227f8c8d6e6d4b1ce27ce559755b192ce61f210d762d7fe5ef0dd6b823","P0","hardening-audit-complete-2026-06-15",".github/workflows/ci.yml; AGENTS.md; CHANGELOG.md; SYSTEM_REQUIREMENTS.md; backend/app/Actions/Backups/CreateBackupAction.php; backend/app/Actions/Backups/EncryptBackupFileAction.php; backend/app/Actions/Billing/CalculateInvoiceTotalsAction.php; backend/app/Actions/InstitutionalReceipts/IssueInstitutionalReceiptAction.php; backend/app/Actions/Reports/ExcelReportService.php; backend/app/Actions/Reports/PremiumExcelExportService.php; backend/app/Console/Commands/DecryptBackupCommand.php; backend/app/Console/Commands/PrepareE2eReleaseDataCommand.php; backend/app/Console/Commands/PruneIdempotencyKeysCommand.php; backend/app/Http/Controllers/UserController.php; backend/app/Http/Middleware/LoginLockout.php; backend/app/Http/Requests/Auth/LoginRequest.php; backend/app/Models/User.php; backend/app/Support/ExcelSafe.php","REQUIERE_DECISION_USUARIO","aheadBehind=104/4; cherryPlus=3; cherryMinus=1; files3=85; files2=605; priority=P0","decisi?n humana/revisi?n focal antes de recuperaci?n"
"merge/f6-approved-a9377e9f","c851057fbcdac7a98a6f06ffb9c6dee526839fc9","2026-06-14T01:13:59-06:00","fix(security): natively encrypt legacy plaintext idempotency keys","a9377e9fa71430c8667dd619022f58a9f28dcde4","203/1","740ebed99298b6277849536e9046ea0e2b02f0b9","False","1","0","1","3","890"," 3 files changed, 125 insertions(+)"," 890 files changed, 9710 insertions(+), 72436 deletions(-)","92bf63ece29502ec32b2c2e3e96e9295eb119a728387db407d53f054138ff2d7","P0","merge","backend/app/Console/Commands/EncryptLegacyIdempotencyKeysCommand.php; backend/database/migrations/2026_06_14_000000_encrypt_idempotency_keys.php; backend/tests/Feature/EncryptLegacyIdempotencyKeysTest.php","DUPLICADO_DE_OTRA_RAMA","aheadBehind=203/1; cherryPlus=1; cherryMinus=0; files3=3; files2=890; priority=P0; duplicateShaOf=audit/f6-post-approval-sensitive-c851057f","no recuperar como unidad; duplicado de referencia preservada"
